,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
52,24.929112696647643,5.854257982934717,3.643260645866394,0.9802274864933137,0.1,10,"{'C': 0.1, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
53,25.846093678474425,5.448802955113375,3.4718913316726683,1.023147278021829,0.1,100,"{'C': 0.1, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
54,24.116213369369508,4.740484421330901,3.153826189041138,0.4221705919304729,0.1,1000,"{'C': 0.1, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
55,27.81428337097168,4.256423140291894,3.8538020133972166,0.6475300519934354,0.3,0.0001,"{'C': 0.3, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
56,28.2454847574234,2.2582505344078148,3.4845333337783813,0.9365202714280089,0.3,0.001,"{'C': 0.3, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
57,24.645270013809203,7.87976471044804,3.279270815849304,1.2587888376447705,0.3,0.01,"{'C': 0.3, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
58,22.755993294715882,7.4697169758880655,2.8439318418502806,1.2901882563174922,0.3,0.03,"{'C': 0.3, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
59,26.454274249076843,4.5890778515215676,3.502808952331543,0.9533763095611447,0.3,0.1,"{'C': 0.3, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,25.312238121032713,4.804140261548791,3.180300974845886,0.8108848714067415,0.0001,0.001,"{'C': 0.0001, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
61,27.322041058540343,5.251948521501957,3.623121190071106,0.8229843419739271,0.3,1,"{'C': 0.3, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
62,25.19946904182434,6.016153924604377,3.052668905258179,1.1265270640592187,0.3,3,"{'C': 0.3, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
63,26.916877889633177,6.5655054907107315,3.5823934078216553,1.1024099814909003,0.3,10,"{'C': 0.3, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
64,21.8227294921875,7.419509412220235,3.162310838699341,1.041401309936432,0.3,100,"{'C': 0.3, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
65,25.554535508155823,7.233132175907644,3.092323923110962,1.0973005926456119,0.3,1000,"{'C': 0.3, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
35,23.241193199157713,8.394829078408462,3.4357656717300413,1.4709153679810532,0.03,0.01,"{'C': 0.03, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
60,26.227988839149475,7.197675397143946,3.6197866439819335,0.7926326257409797,0.3,0.3,"{'C': 0.3, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
33,27.326102781295777,3.0985745143933694,3.4286004304885864,0.7047921408937878,0.03,0.0001,"{'C': 0.03, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
16,27.8976371049881,5.732512568685938,3.274017882347107,0.9804133877834336,0.001,0.3,"{'C': 0.001, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
32,27.023968291282653,3.8466943454427054,3.536212611198425,0.821320998357663,0.01,1000,"{'C': 0.01, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,25.296211075782775,3.7068107062846223,2.984828019142151,0.8545960221283886,0.0001,0.01,"{'C': 0.0001, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,24.518821716308594,2.93524736180313,2.533413314819336,0.7801133363261795,0.0001,0.03,"{'C': 0.0001, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,25.647329807281494,3.616562655037767,3.200203061103821,0.5993696960190796,0.0001,0.1,"{'C': 0.0001, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,23.91816153526306,5.26680187057654,2.4184135675430296,1.305772199357665,0.0001,1,"{'C': 0.0001, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
7,21.436625790596008,7.21146650493506,2.7408261775970457,1.2767469190150584,0.0001,3,"{'C': 0.0001, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
8,22.333885955810548,4.691542826358063,2.6986273527145386,0.9249665079369832,0.0001,10,"{'C': 0.0001, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
9,23.751049971580507,5.663600165127173,2.466687321662903,1.3995050905782798,0.0001,100,"{'C': 0.0001, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
