,CVE,flag_CR
829,CVE-2022-39299,0
830,CVE-2023-27203,1
831,CVE-2023-27580,0
832,CVE-2020-2551,1
833,CVE-2023-0906,1
834,CVE-2023-0577,0
835,CVE-2022-31706,1
836,CVE-2023-0841,0
837,CVE-2023-0780,0
838,CVE-2022-34148,0
839,CVE-2023-0781,1
840,CVE-2023-28686,0
841,CVE-2023-28466,0
842,CVE-2023-25956,0
843,CVE-2023-0586,0
844,CVE-2023-0740,1
845,CVE-2023-25795,0
846,CVE-2022-39953,0
847,CVE-2023-0722,0
848,CVE-2020-19825,1
849,CVE-2023-26208,0
850,CVE-2022-48111,0
851,CVE-2023-26081,0
852,CVE-2023-27204,1
853,CVE-2022-46752,0
854,CVE-2023-26092,1
855,CVE-2020-6817,0
856,CVE-2022-46637,1
857,CVE-2023-27100,1
858,CVE-2023-26513,0
859,CVE-2023-28606,0
860,CVE-2023-27641,0
861,CVE-2022-48424,0
862,CVE-2023-1442,0
863,CVE-2023-1492,0
864,CVE-2023-0930,0
865,CVE-2023-25362,1
866,CVE-2023-1061,0
867,CVE-2023-25696,1
868,CVE-2021-45477,0
869,CVE-2023-27253,0
870,CVE-2023-25536,0
871,CVE-2023-27242,0
872,CVE-2023-21615,0
873,CVE-2023-27213,1
874,CVE-2023-0936,0
875,CVE-2023-1248,0
876,CVE-2023-1502,1
877,CVE-2023-25709,0
878,CVE-2023-24730,0
879,CVE-2023-1489,0
880,CVE-2022-41862,0
881,CVE-2023-0707,1
882,CVE-2022-28495,1
883,CVE-2022-28497,1
884,CVE-2023-1443,0
885,CVE-2022-48362,0
886,CVE-2023-25708,0
887,CVE-2023-0910,1
888,CVE-2023-1491,0
889,CVE-2023-1500,0
890,CVE-2023-1517,0
891,CVE-2022-23535,1
892,CVE-2022-44580,0
893,CVE-2023-1459,1
894,CVE-2023-1310,1
895,CVE-2023-1100,1
896,CVE-2023-23040,0
897,CVE-2023-1320,0
898,CVE-2023-23313,0
899,CVE-2023-1064,1
900,CVE-2023-24485,0
901,CVE-2023-1022,0
902,CVE-2023-27582,1
903,CVE-2023-1115,0
904,CVE-2023-27896,0
905,CVE-2022-45154,0
906,CVE-2022-0637,0
907,CVE-2022-48365,0
908,CVE-2023-26462,1
909,CVE-2022-44877,1
910,CVE-2022-4492,0
911,CVE-2021-46876,0
912,CVE-2021-32302,0
913,CVE-2022-43969,1
914,CVE-2020-8958,0
915,CVE-2023-27873,0
916,CVE-2023-1474,1
917,CVE-2023-1483,1
