,CVE,num_of_author,baseSeverity,baseScore
331,CVE-2023-24295,15,HIGH,7.8
332,CVE-2023-26281,15,HIGH,7.5
333,CVE-2023-0483,15,LOW,3.8
334,CVE-2020-36665,15,MEDIUM,6.1
335,CVE-2023-0215,15,HIGH,7.5
336,CVE-2013-10020,15,MEDIUM,6.1
337,CVE-2023-23400,15,HIGH,7.2
338,CVE-2020-5002,15,HIGH,8.8
339,CVE-2023-0747,15,MEDIUM,5.4
340,CVE-2015-10085,15,HIGH,7.5
341,CVE-2021-36821,15,MEDIUM,6.1
342,CVE-2022-38074,15,HIGH,8.8
343,CVE-2016-15027,15,MEDIUM,6.1
344,CVE-2006-10001,15,MEDIUM,5.4
345,CVE-2023-1151,15,CRITICAL,9.8
346,CVE-2023-0938,15,CRITICAL,9.8
347,CVE-2023-0860,15,HIGH,7.5
348,CVE-2023-0861,15,HIGH,8.8
349,CVE-2023-0883,15,CRITICAL,9.8
350,CVE-2023-26464,15,HIGH,7.5
351,CVE-2023-1084,15,LOW,2.7
352,CVE-2023-0915,15,HIGH,8.8
353,CVE-2023-0901,15,MEDIUM,5.3
354,CVE-2023-1240,15,MEDIUM,5.4
355,CVE-2020-36664,15,MEDIUM,6.1
356,CVE-2022-32471,15,HIGH,7.0
357,CVE-2020-36663,15,MEDIUM,6.1
358,CVE-2020-19786,15,HIGH,8.8
359,CVE-2019-8720,15,HIGH,8.8
360,CVE-2022-32469,15,HIGH,7.0
361,CVE-2023-1165,15,HIGH,7.2
362,CVE-2023-22578,15,CRITICAL,9.8
363,CVE-2023-1286,15,MEDIUM,4.8
364,CVE-2023-1176,15,LOW,3.3
365,CVE-2023-26605,15,HIGH,7.8
366,CVE-2023-1527,15,MEDIUM,5.4
367,CVE-2023-1556,15,CRITICAL,9.8
368,CVE-2017-20182,15,MEDIUM,6.1
369,CVE-2022-22963,15,CRITICAL,9.8
370,CVE-2016-15026,15,HIGH,7.8
371,CVE-2022-25734,15,HIGH,7.5
372,CVE-2017-20180,15,HIGH,7.5
373,CVE-2023-1561,15,CRITICAL,9.8
374,CVE-2021-43529,15,CRITICAL,9.8
375,CVE-2016-15030,15,MEDIUM,6.1
376,CVE-2023-1211,15,HIGH,7.2
377,CVE-2021-46875,15,MEDIUM,6.1
378,CVE-2023-24573,15,HIGH,7.1
379,CVE-2022-32476,15,HIGH,7.0
380,CVE-2023-1535,15,MEDIUM,5.4
381,CVE-2020-36656,15,MEDIUM,5.4
382,CVE-2016-15025,15,MEDIUM,6.1
383,CVE-2023-1534,14,HIGH,8.8
384,CVE-2023-27871,14,HIGH,7.5
385,CVE-2023-0461,14,HIGH,7.8
386,CVE-2021-31573,14,CRITICAL,9.8
387,CVE-2021-32845,14,HIGH,7.8
388,CVE-2022-33250,14,HIGH,7.5
389,CVE-2023-27483,14,HIGH,7.5
390,CVE-2023-0361,14,HIGH,7.5
391,CVE-2022-43461,14,MEDIUM,5.4
392,CVE-2023-23039,14,MEDIUM,5.7
393,CVE-2023-1312,14,MEDIUM,4.8
394,CVE-2022-40676,14,MEDIUM,5.4
395,CVE-2021-32843,14,MEDIUM,5.5
396,CVE-2022-33245,14,HIGH,7.8
397,CVE-2023-1050,14,CRITICAL,9.8
398,CVE-2021-33396,14,MEDIUM,6.5
399,CVE-2023-24367,14,MEDIUM,6.1
400,CVE-2022-34416,14,MEDIUM,6.7
401,CVE-2022-38745,14,HIGH,7.8
402,CVE-2023-1035,14,HIGH,8.8
403,CVE-2023-1558,14,CRITICAL,9.8
404,CVE-2022-34419,14,MEDIUM,6.7
405,CVE-2022-34418,14,MEDIUM,6.7
406,CVE-2023-1370,14,HIGH,7.5
407,CVE-2019-17003,14,MEDIUM,6.1
408,CVE-2021-33104,14,MEDIUM,5.5
409,CVE-2021-32844,14,MEDIUM,5.5
410,CVE-2022-44574,14,HIGH,7.5
411,CVE-2022-34417,14,MEDIUM,6.7
412,CVE-2023-1557,14,CRITICAL,9.8
413,CVE-2023-26213,14,HIGH,7.2
414,CVE-2023-1293,14,CRITICAL,9.8
415,CVE-2023-26545,14,HIGH,7.8
416,CVE-2021-0187,14,MEDIUM,6.7
417,CVE-2023-1081,14,MEDIUM,4.8
418,CVE-2022-42485,14,MEDIUM,5.4
419,CVE-2021-32163,14,CRITICAL,9.8
420,CVE-2023-1170,14,MEDIUM,6.6
421,CVE-2023-22704,14,MEDIUM,6.1
422,CVE-2020-22647,14,CRITICAL,9.1
423,CVE-2018-25081,14,HIGH,7.5
424,CVE-2023-28486,14,MEDIUM,5.3
425,CVE-2023-25613,14,CRITICAL,9.8
426,CVE-2023-1304,14,HIGH,8.8
427,CVE-2023-1616,14,MEDIUM,5.4
428,CVE-2023-1595,14,HIGH,7.2
429,CVE-2023-1244,14,MEDIUM,5.4
430,CVE-2023-26780,14,CRITICAL,9.8
431,CVE-2023-1177,14,CRITICAL,9.8
432,CVE-2023-26600,14,MEDIUM,6.5
433,CVE-2022-32954,14,HIGH,7.0
434,CVE-2017-11882,14,HIGH,7.8
435,CVE-2022-32473,14,HIGH,7.0
436,CVE-2023-1241,14,MEDIUM,5.4
437,CVE-2022-32478,14,HIGH,7.0
438,CVE-2023-1543,14,HIGH,8.8
439,CVE-2017-20178,14,HIGH,7.5
440,CVE-2017-20177,14,MEDIUM,6.1
441,CVE-2023-1155,14,MEDIUM,5.4
442,CVE-2023-1563,14,CRITICAL,9.8
443,CVE-2023-1294,14,CRITICAL,9.8
444,CVE-2021-32419,14,MEDIUM,5.3
445,CVE-2023-1292,14,CRITICAL,9.8
446,CVE-2008-10003,14,CRITICAL,9.8
447,CVE-2023-1290,14,CRITICAL,9.8
448,CVE-2020-36669,14,HIGH,8.8
449,CVE-2020-36668,14,MEDIUM,4.3
450,CVE-2020-4927,14,HIGH,8.2
451,CVE-2020-4556,14,LOW,3.3
452,CVE-2023-28607,14,MEDIUM,6.1
453,CVE-2020-36670,14,MEDIUM,6.3
454,CVE-2022-47949,14,CRITICAL,9.8
455,CVE-2020-36667,14,MEDIUM,5.4
456,CVE-2022-33244,14,HIGH,7.5
457,CVE-2023-0056,14,MEDIUM,6.5
458,CVE-2023-23007,14,HIGH,7.2
459,CVE-2023-24080,14,CRITICAL,9.8
460,CVE-2023-1462,14,HIGH,8.8
461,CVE-2023-1033,14,HIGH,8.8
462,CVE-2023-0760,14,HIGH,7.8
463,CVE-2023-0759,14,HIGH,8.8
464,CVE-2023-1589,14,CRITICAL,9.8
465,CVE-2023-1559,14,HIGH,7.2
466,CVE-2022-45551,14,CRITICAL,9.8
467,CVE-2023-0935,14,CRITICAL,9.8
468,CVE-2023-27587,14,MEDIUM,6.5
