CVE,num_of_author,baseSeverity,baseScore
CVE-2018-17144,10,,
CVE-2023-22424,10,HIGH,7.8
CVE-2023-22768,10,HIGH,7.2
CVE-2021-33360,10,CRITICAL,9.8
CVE-2021-32853,10,CRITICAL,9.6
CVE-2023-22476,10,MEDIUM,4.3
CVE-2022-47422,10,HIGH,8.8
CVE-2023-0770,10,HIGH,7.8
CVE-2022-3229,10,CRITICAL,9.8
CVE-2023-22702,10,MEDIUM,5.4
CVE-2022-3284,10,HIGH,7.5
CVE-2021-32857,10,MEDIUM,6.1
CVE-2023-1300,10,CRITICAL,9.8
CVE-2023-22680,10,MEDIUM,4.8
CVE-2023-22679,10,MEDIUM,4.8
CVE-2023-0979,10,CRITICAL,9.8
CVE-2023-1379,10,CRITICAL,9.8
CVE-2023-0960,10,CRITICAL,9.8
CVE-2023-22580,10,HIGH,7.5
CVE-2022-45564,10,CRITICAL,9.8
CVE-2022-40022,10,CRITICAL,9.8
CVE-2022-46723,10,CRITICAL,9.8
CVE-2023-23919,10,HIGH,7.5
CVE-2023-1009,10,MEDIUM,5.5
CVE-2023-1289,10,MEDIUM,5.5
CVE-2023-0736,10,MEDIUM,5.4
CVE-2023-0735,10,MEDIUM,6.5
CVE-2022-2883,10,HIGH,7.5
CVE-2021-34125,10,HIGH,7.5
CVE-2022-28496,10,CRITICAL,9.8
CVE-2023-1391,10,CRITICAL,9.8
CVE-2023-0724,10,MEDIUM,4.3
CVE-2022-28492,10,CRITICAL,9.8
CVE-2022-46705,10,MEDIUM,4.3
CVE-2022-28368,10,CRITICAL,9.8
CVE-2022-2835,10,MEDIUM,4.4
CVE-2023-21708,10,CRITICAL,9.8
CVE-2023-0701,10,HIGH,8.8
CVE-2023-1394,10,CRITICAL,9.8
CVE-2022-40540,10,HIGH,7.8
CVE-2022-4009,10,HIGH,8.8
CVE-2023-22265,10,MEDIUM,5.4
CVE-2023-22362,10,HIGH,7.5
CVE-2023-22345,10,HIGH,7.8
CVE-2021-33387,10,CRITICAL,9.6
CVE-2023-0999,10,HIGH,8.8
CVE-2023-22804,10,CRITICAL,9.8
CVE-2023-1002,10,MEDIUM,6.5
CVE-2023-22269,10,MEDIUM,5.4
CVE-2023-22254,10,MEDIUM,5.4
CVE-2022-30564,10,MEDIUM,5.3
CVE-2023-22253,10,MEDIUM,5.4
CVE-2023-22252,10,MEDIUM,5.4
CVE-2022-40237,10,HIGH,7.5
CVE-2022-47443,10,HIGH,8.8
CVE-2023-1006,10,MEDIUM,5.4
CVE-2022-40347,10,CRITICAL,9.8
CVE-2022-40348,10,MEDIUM,5.4
CVE-2023-22803,10,HIGH,7.5
CVE-2018-12136,10,,
CVE-2022-33216,10,MEDIUM,5.5
CVE-2021-26414,10,MEDIUM,6.5
CVE-2023-0870,10,MEDIUM,6.7
CVE-2023-0868,10,MEDIUM,6.1
CVE-2023-23659,10,HIGH,8.8
CVE-2022-38220,10,MEDIUM,6.1
CVE-2023-0867,10,MEDIUM,6.1
CVE-2022-35720,10,MEDIUM,5.5
CVE-2023-0865,10,HIGH,8.8
CVE-2022-46862,10,HIGH,8.8
CVE-2023-23558,10,MEDIUM,6.3
CVE-2022-46836,10,HIGH,8.8
CVE-2022-3568,10,HIGH,8.8
CVE-2022-38547,10,HIGH,7.2
CVE-2023-23522,10,MEDIUM,5.5
CVE-2023-0929,10,HIGH,8.8
CVE-2023-0850,10,HIGH,7.5
CVE-2023-1314,10,HIGH,7.8
CVE-2023-1345,10,MEDIUM,4.3
CVE-2022-47179,10,MEDIUM,4.3
CVE-2023-1344,10,MEDIUM,4.3
CVE-2022-37937,10,CRITICAL,9.8
CVE-2022-3758,10,MEDIUM,5.4
CVE-2022-37402,10,MEDIUM,4.8
CVE-2022-47143,10,HIGH,8.8
CVE-2023-1327,10,CRITICAL,9.8
CVE-2023-23899,10,MEDIUM,4.3
CVE-2023-23865,10,MEDIUM,4.3
CVE-2023-1338,10,MEDIUM,4.3
CVE-2023-23849,10,MEDIUM,6.1
CVE-2023-1339,10,MEDIUM,4.3
CVE-2023-1342,10,MEDIUM,4.3
CVE-2023-23782,10,HIGH,7.8
CVE-2023-1343,10,MEDIUM,4.3
CVE-2023-23779,10,HIGH,8.8
CVE-2023-23776,10,LOW,3.1
CVE-2023-23504,10,HIGH,7.8
CVE-2023-23475,10,MEDIUM,4.6
CVE-2023-23465,10,HIGH,8.8
CVE-2022-38777,10,HIGH,7.8
CVE-2023-23003,10,HIGH,7.8
CVE-2023-23000,10,MEDIUM,5.5
CVE-2023-0817,10,HIGH,7.8
CVE-2023-0815,10,MEDIUM,6.5
CVE-2022-46773,10,MEDIUM,6.5
CVE-2021-22283,10,MEDIUM,5.5
CVE-2023-0804,10,MEDIUM,5.5
CVE-2018-12134,10,,
CVE-2018-12135,10,,
CVE-2022-47589,10,MEDIUM,4.8
CVE-2022-33233,10,HIGH,7.8
CVE-2023-0782,10,CRITICAL,9.8
CVE-2023-22856,10,MEDIUM,5.4
CVE-2022-33221,10,MEDIUM,5.5
CVE-2023-22847,10,MEDIUM,4.3
CVE-2022-33243,10,HIGH,7.8
CVE-2023-0818,10,MEDIUM,5.5
CVE-2022-33246,10,HIGH,7.8
CVE-2022-47163,10,HIGH,7.5
CVE-2022-38778,10,MEDIUM,6.5
CVE-2022-38779,10,MEDIUM,6.1
CVE-2022-3894,10,MEDIUM,4.3
CVE-2023-0847,10,HIGH,8.1
CVE-2022-34397,10,MEDIUM,5.7
CVE-2022-34362,10,MEDIUM,4.6
CVE-2022-3381,10,MEDIUM,6.1
CVE-2022-33248,10,HIGH,7.8
CVE-2023-23162,10,CRITICAL,9.8
CVE-2023-23150,10,CRITICAL,9.8
CVE-2023-0840,10,MEDIUM,5.4
CVE-2023-0827,10,MEDIUM,5.4
CVE-2023-23080,10,CRITICAL,9.8
CVE-2023-0937,10,MEDIUM,6.1
CVE-2023-1030,10,MEDIUM,6.1
CVE-2023-21528,10,HIGH,7.8
CVE-2023-1418,10,MEDIUM,6.1
CVE-2023-1566,10,CRITICAL,9.8
CVE-2023-0078,10,MEDIUM,5.4
CVE-2022-4317,10,MEDIUM,6.1
CVE-2022-4331,10,HIGH,7.3
CVE-2023-1467,10,CRITICAL,9.8
CVE-2022-43459,10,HIGH,8.8
CVE-2023-1468,10,CRITICAL,9.8
CVE-2023-1131,10,MEDIUM,6.1
CVE-2023-1146,10,MEDIUM,5.4
CVE-2022-43578,10,MEDIUM,5.4
CVE-2023-1147,10,MEDIUM,5.4
CVE-2023-1472,10,MEDIUM,6.3
CVE-2022-43762,10,CRITICAL,9.8
CVE-2022-43763,10,HIGH,7.5
CVE-2022-48307,10,LOW,3.7
CVE-2022-48308,10,LOW,3.7
CVE-2023-0083,10,MEDIUM,5.5
CVE-2023-1571,10,CRITICAL,9.8
CVE-2023-1105,10,HIGH,8.1
CVE-2022-23239,10,MEDIUM,4.8
CVE-2023-1629,10,HIGH,7.8
CVE-2023-1626,10,HIGH,7.8
CVE-2023-1261,10,MEDIUM,5.3
CVE-2023-1107,10,MEDIUM,5.4
CVE-2022-42334,10,MEDIUM,6.5
CVE-2023-0102,10,CRITICAL,9.1
CVE-2023-1113,10,MEDIUM,4.8
CVE-2023-1257,10,MEDIUM,6.8
CVE-2022-42438,10,HIGH,8.8
CVE-2023-0100,10,HIGH,8.8
CVE-2022-42735,10,HIGH,8.8
CVE-2022-48078,10,CRITICAL,9.8
CVE-2022-42826,10,HIGH,8.8
CVE-2022-42833,10,HIGH,7.8
CVE-2023-1249,10,MEDIUM,5.5
CVE-2022-43765,10,HIGH,7.5
CVE-2022-4933,10,CRITICAL,9.8
CVE-2023-1157,10,MEDIUM,5.5
CVE-2023-1475,10,CRITICAL,9.8
CVE-2022-45004,10,MEDIUM,6.1
CVE-2023-1231,10,MEDIUM,4.3
CVE-2021-44197,10,MEDIUM,6.1
CVE-2022-45104,10,HIGH,8.8
CVE-2023-1230,10,MEDIUM,4.3
CVE-2023-1187,10,MEDIUM,5.5
CVE-2022-45146,10,MEDIUM,5.5
CVE-2021-4327,10,CRITICAL,9.8
CVE-2022-48341,10,HIGH,8.8
CVE-2023-1188,10,MEDIUM,5.5
CVE-2021-42792,10,,
CVE-2023-1189,10,MEDIUM,5.5
CVE-2022-4557,10,CRITICAL,9.8
CVE-2022-45455,10,HIGH,7.8
CVE-2023-1190,10,HIGH,7.8
CVE-2023-1186,10,MEDIUM,5.5
CVE-2023-1185,10,HIGH,8.8
CVE-2023-1184,10,HIGH,8.8
CVE-2022-4901,10,MEDIUM,6.1
CVE-2022-43870,10,MEDIUM,6.5
CVE-2023-1163,10,MEDIUM,6.5
CVE-2022-45600,10,HIGH,8.8
CVE-2022-4904,10,HIGH,8.6
CVE-2022-48328,10,CRITICAL,9.8
CVE-2022-43930,10,HIGH,7.5
CVE-2022-4895,10,HIGH,8.1
CVE-2023-1232,10,MEDIUM,4.3
CVE-2022-45599,10,CRITICAL,9.8
CVE-2022-44698,10,MEDIUM,5.4
CVE-2022-45586,10,MEDIUM,5.5
CVE-2022-48339,10,HIGH,7.8
CVE-2023-1513,10,HIGH,7.5
CVE-2023-1234,10,MEDIUM,4.3
CVE-2022-42332,10,HIGH,7.8
CVE-2023-20012,10,MEDIUM,4.6
CVE-2023-21706,10,HIGH,8.8
CVE-2022-41329,10,MEDIUM,5.3
CVE-2022-41334,10,MEDIUM,6.1
CVE-2022-46286,10,MEDIUM,5.5
CVE-2023-20937,10,HIGH,7.8
CVE-2023-20927,10,HIGH,7.8
CVE-2023-0630,10,HIGH,8.8
CVE-2023-0629,10,HIGH,7.1
CVE-2022-45861,10,MEDIUM,6.5
CVE-2023-0597,10,MEDIUM,5.5
CVE-2023-0595,10,MEDIUM,5.3
CVE-2023-0594,10,MEDIUM,5.4
CVE-2022-45854,10,MEDIUM,4.3
CVE-2022-41696,10,MEDIUM,5.5
CVE-2022-41722,10,HIGH,7.5
CVE-2022-41723,10,HIGH,7.5
CVE-2023-0574,10,CRITICAL,9.8
CVE-2022-41333,10,HIGH,7.5
CVE-2022-46496,10,MEDIUM,5.9
CVE-2023-1103,10,,
CVE-2021-36392,10,CRITICAL,9.8
CVE-2022-27596,10,CRITICAL,9.8
CVE-2023-21616,10,MEDIUM,5.4
CVE-2023-1432,10,CRITICAL,9.8
CVE-2023-0687,10,CRITICAL,9.8
CVE-2018-3622,10,,
CVE-2023-1433,10,HIGH,7.2
CVE-2023-1281,10,HIGH,7.8
CVE-2021-41064,10,,
CVE-2023-21465,10,MEDIUM,5.5
CVE-2023-21464,10,LOW,3.3
CVE-2023-21463,10,LOW,3.3
CVE-2023-21462,10,LOW,3.3
CVE-2023-21454,10,LOW,2.4
CVE-2021-35370,10,CRITICAL,9.8
CVE-2023-0686,10,CRITICAL,9.8
CVE-2023-1055,10,MEDIUM,5.5
CVE-2023-20857,10,MEDIUM,6.8
CVE-2023-0559,10,MEDIUM,5.4
CVE-2023-20855,10,HIGH,8.8
CVE-2023-1070,10,HIGH,7.1
CVE-2022-45755,10,MEDIUM,5.4
CVE-2022-4224,10,HIGH,8.8
CVE-2023-20069,10,MEDIUM,5.4
CVE-2023-20062,10,MEDIUM,4.3
CVE-2023-20061,10,MEDIUM,6.5
CVE-2023-0196,10,LOW,3.3
CVE-2023-0175,10,MEDIUM,5.4
CVE-2023-0167,10,MEDIUM,5.4
CVE-2023-1091,10,CRITICAL,9.8
CVE-2023-1099,10,CRITICAL,9.8
CVE-2023-0145,10,MEDIUM,5.4
CVE-2023-1101,10,HIGH,8.8
CVE-2022-42291,10,MEDIUM,5.5
CVE-2022-24410,10,MEDIUM,4.2
CVE-2023-0223,10,MEDIUM,5.3
CVE-2023-20088,10,HIGH,7.5
CVE-2022-47141,10,HIGH,8.8
CVE-2023-20645,10,MEDIUM,4.4
CVE-2023-0540,10,MEDIUM,5.4
CVE-2023-0460,10,HIGH,7.3
CVE-2023-20649,10,MEDIUM,4.4
CVE-2023-20647,10,MEDIUM,4.4
CVE-2023-0378,10,MEDIUM,5.4
CVE-2023-0369,10,MEDIUM,5.4
CVE-2023-20644,10,MEDIUM,4.4
CVE-2020-24857,10,MEDIUM,6.1
CVE-2023-1451,10,MEDIUM,5.5
CVE-2023-1452,10,HIGH,7.8
CVE-2023-20626,10,MEDIUM,6.7
CVE-2023-20625,10,MEDIUM,6.4
CVE-2023-20624,10,MEDIUM,6.7
CVE-2023-1267,10,CRITICAL,9.8
CVE-2023-20104,10,MEDIUM,6.1
CVE-2022-28493,10,CRITICAL,9.8
CVE-2023-25763,10,MEDIUM,5.4
CVE-2023-26955,10,MEDIUM,5.4
CVE-2023-26952,10,MEDIUM,5.4
CVE-2023-27850,10,MEDIUM,6.8
CVE-2023-27851,10,HIGH,8.8
CVE-2023-27852,10,CRITICAL,9.8
CVE-2023-24996,10,HIGH,7.8
CVE-2023-24995,10,HIGH,7.8
CVE-2023-26951,10,MEDIUM,5.4
CVE-2023-24993,10,HIGH,7.8
CVE-2023-28443,10,MEDIUM,5.5
CVE-2023-24992,10,HIGH,7.8
CVE-2023-28441,10,HIGH,7.5
CVE-2023-24990,10,HIGH,7.8
CVE-2023-24988,10,HIGH,7.8
CVE-2023-26950,10,MEDIUM,5.4
CVE-2023-26949,10,CRITICAL,9.8
CVE-2023-26948,10,HIGH,7.5
CVE-2023-24985,10,HIGH,7.8
CVE-2023-27893,10,HIGH,8.8
CVE-2017-0983,10,,
CVE-2023-24984,10,HIGH,7.8
CVE-2023-26460,10,MEDIUM,5.3
CVE-2017-0984,10,,
CVE-2017-0985,10,,
CVE-2017-0986,10,,
CVE-2023-24981,10,HIGH,7.8
CVE-2023-24980,10,HIGH,7.8
CVE-2017-0987,10,,
CVE-2023-26954,10,MEDIUM,5.4
CVE-2023-25140,10,HIGH,7.8
CVE-2023-24978,10,HIGH,7.8
CVE-2023-25141,10,HIGH,7.5
CVE-2023-23983,10,MEDIUM,5.4
CVE-2023-27581,10,HIGH,8.8
CVE-2023-27585,10,HIGH,7.5
CVE-2023-26303,10,MEDIUM,5.5
CVE-2023-27586,10,HIGH,7.1
CVE-2023-25281,10,HIGH,7.5
CVE-2023-23992,10,MEDIUM,4.3
CVE-2023-25279,10,CRITICAL,9.8
CVE-2023-28610,10,CRITICAL,9.8
CVE-2023-25267,10,HIGH,8.8
CVE-2023-27592,10,MEDIUM,5.4
CVE-2023-27594,10,HIGH,7.3
CVE-2023-27595,10,CRITICAL,9.8
CVE-2023-27596,10,HIGH,7.5
CVE-2023-27597,10,HIGH,7.5
CVE-2023-25172,10,MEDIUM,5.4
CVE-2023-25171,10,MEDIUM,5.9
CVE-2023-27600,10,HIGH,7.5
CVE-2023-25169,10,MEDIUM,5.3
CVE-2023-25168,10,HIGH,8.2
CVE-2023-27601,10,HIGH,7.5
CVE-2023-24249,10,HIGH,7.2
CVE-2023-24253,10,CRITICAL,9.8
CVE-2023-28460,10,HIGH,7.2
CVE-2023-25163,10,MEDIUM,6.5
CVE-2023-27052,10,CRITICAL,9.8
CVE-2023-25158,10,CRITICAL,9.8
CVE-2023-24979,10,HIGH,7.8
CVE-2017-0988,10,,
CVE-2023-26257,10,HIGH,7.5
CVE-2023-24686,10,MEDIUM,4.8
CVE-2023-24652,10,HIGH,8.8
CVE-2023-24642,10,CRITICAL,9.8
CVE-2023-26488,10,MEDIUM,6.5
CVE-2023-24578,10,MEDIUM,5.5
CVE-2023-26491,10,MEDIUM,6.1
CVE-2023-24567,10,MEDIUM,6.5
CVE-2023-28332,10,MEDIUM,6.1
CVE-2023-26805,10,CRITICAL,9.8
CVE-2023-26779,10,CRITICAL,9.8
CVE-2023-24107,10,CRITICAL,9.8
CVE-2023-26497,10,CRITICAL,9.8
CVE-2023-28331,10,MEDIUM,6.1
CVE-2023-24350,10,CRITICAL,9.8
CVE-2023-24523,10,HIGH,8.8
CVE-2023-28330,10,MEDIUM,6.5
CVE-2023-24369,10,MEDIUM,6.1
CVE-2023-28329,10,HIGH,8.8
CVE-2023-24382,10,HIGH,8.8
CVE-2023-24384,10,HIGH,8.8
CVE-2023-26498,10,CRITICAL,9.8
CVE-2023-24114,10,CRITICAL,9.8
CVE-2023-24415,10,HIGH,8.8
CVE-2023-28144,10,HIGH,7.0
CVE-2023-24465,10,MEDIUM,5.5
CVE-2023-24419,10,HIGH,8.8
CVE-2023-26759,10,HIGH,8.8
CVE-2023-28111,10,HIGH,7.5
CVE-2023-24104,10,CRITICAL,9.8
CVE-2023-24688,10,MEDIUM,5.3
CVE-2017-0989,10,,
CVE-2023-28334,10,MEDIUM,4.3
CVE-2023-28429,10,MEDIUM,6.1
CVE-2023-27900,10,HIGH,7.5
CVE-2023-28422,10,MEDIUM,4.8
CVE-2023-27905,10,MEDIUM,5.4
CVE-2023-27983,10,MEDIUM,5.3
CVE-2023-28005,10,MEDIUM,6.8
CVE-2023-28096,10,HIGH,7.5
CVE-2023-24861,10,HIGH,7.0
CVE-2023-26476,10,HIGH,7.5
CVE-2023-26478,10,HIGH,8.1
CVE-2023-24828,10,HIGH,8.8
CVE-2023-26479,10,MEDIUM,6.5
CVE-2023-24811,10,MEDIUM,6.1
CVE-2023-28338,10,HIGH,7.5
CVE-2023-24810,10,MEDIUM,6.1
CVE-2023-28098,10,HIGH,7.5
CVE-2023-24795,10,CRITICAL,9.8
CVE-2023-26481,10,MEDIUM,6.5
CVE-2023-24782,10,CRITICAL,9.8
CVE-2023-24781,10,CRITICAL,9.8
CVE-2023-24776,10,CRITICAL,9.8
CVE-2023-24081,10,MEDIUM,5.4
CVE-2023-24773,10,CRITICAL,9.8
CVE-2023-24760,10,HIGH,8.8
CVE-2023-28337,10,HIGH,8.8
CVE-2023-28336,10,MEDIUM,4.3
CVE-2023-24736,10,CRITICAL,9.8
CVE-2023-25396,10,HIGH,7.8
CVE-2023-27054,10,MEDIUM,6.1
CVE-2023-26108,10,MEDIUM,5.3
CVE-2023-28662,10,CRITICAL,9.8
CVE-2023-24191,10,MEDIUM,6.1
CVE-2023-25717,10,CRITICAL,9.8
CVE-2023-28663,10,HIGH,8.8
CVE-2023-25947,10,MEDIUM,5.5
CVE-2023-27309,10,HIGH,8.8
CVE-2023-25656,10,HIGH,7.5
CVE-2023-27088,10,HIGH,8.8
CVE-2023-24194,10,MEDIUM,6.1
CVE-2023-26034,10,HIGH,8.8
CVE-2023-27161,10,HIGH,7.5
CVE-2023-24231,10,MEDIUM,4.8
CVE-2023-27205,10,CRITICAL,9.8
CVE-2023-25592,10,MEDIUM,6.1
CVE-2023-25859,10,HIGH,7.8
CVE-2023-26093,10,CRITICAL,9.8
CVE-2023-26040,10,MEDIUM,6.1
CVE-2023-23927,10,MEDIUM,5.4
CVE-2023-25614,10,MEDIUM,6.1
CVE-2023-24205,10,CRITICAL,9.8
CVE-2023-26054,10,MEDIUM,6.5
CVE-2023-25611,10,HIGH,7.3
CVE-2023-27095,10,MEDIUM,6.5
CVE-2023-27310,10,HIGH,8.8
CVE-2023-27093,10,MEDIUM,6.1
CVE-2023-24195,10,MEDIUM,6.1
CVE-2023-26041,10,MEDIUM,4.3
CVE-2023-26084,10,LOW,3.7
CVE-2023-27249,10,MEDIUM,5.5
CVE-2023-27501,10,CRITICAL,9.6
CVE-2023-24229,10,HIGH,7.8
CVE-2023-27115,10,MEDIUM,5.5
CVE-2023-25718,10,CRITICAL,9.8
CVE-2023-26020,10,HIGH,7.2
CVE-2023-27102,10,MEDIUM,6.5
CVE-2023-27560,10,HIGH,7.5
CVE-2023-24238,10,CRITICAL,9.8
CVE-2023-27271,10,HIGH,7.5
CVE-2023-27208,10,MEDIUM,6.1
CVE-2023-24159,10,CRITICAL,9.8
CVE-2023-25807,10,MEDIUM,5.4
CVE-2023-25820,10,HIGH,7.8
CVE-2023-25810,10,MEDIUM,5.4
CVE-2023-39952,10,,
CVE-2023-26242,10,HIGH,7.8
CVE-2023-28818,10,MEDIUM,5.3
CVE-2023-27290,10,CRITICAL,9.1
CVE-2023-24161,10,CRITICAL,9.8
CVE-2023-25811,10,MEDIUM,5.4
CVE-2023-24160,10,CRITICAL,9.8
CVE-2023-24232,10,MEDIUM,4.8
CVE-2023-27235,10,HIGH,7.2
CVE-2023-27210,10,CRITICAL,9.8
CVE-2023-24233,10,MEDIUM,4.8
