CVE,num_of_author,baseSeverity,baseScore
CVE-2023-1181,16,MEDIUM,5.4
CVE-2023-25155,16,MEDIUM,6.5
CVE-2023-27530,16,HIGH,7.5
CVE-2020-27507,16,CRITICAL,9.8
CVE-2023-1315,16,MEDIUM,5.4
CVE-2023-0783,16,CRITICAL,9.8
CVE-2021-45423,16,CRITICAL,9.8
CVE-2023-23918,16,HIGH,7.5
CVE-2021-40555,16,MEDIUM,5.4
CVE-2022-35405,16,CRITICAL,9.8
CVE-2023-27980,16,HIGH,8.8
CVE-2022-29557,16,HIGH,8.8
CVE-2022-4203,16,MEDIUM,4.9
CVE-2022-32953,16,HIGH,7.0
CVE-2022-27892,16,HIGH,7.5
CVE-2015-10080,16,MEDIUM,6.1
CVE-2015-10083,16,CRITICAL,9.8
CVE-2022-33679,16,HIGH,8.1
CVE-2015-10087,16,HIGH,8.8
CVE-2022-31474,16,HIGH,7.5
CVE-2023-23924,16,CRITICAL,9.8
CVE-2023-27984,16,HIGH,8.8
CVE-2023-27986,16,HIGH,7.8
CVE-2015-10097,16,CRITICAL,9.8
CVE-2022-26080,16,MEDIUM,4.3
CVE-2023-1357,15,CRITICAL,9.8
CVE-2021-33237,15,,
CVE-2021-33226,15,CRITICAL,9.8
CVE-2023-1365,15,HIGH,7.5
CVE-2023-1360,15,MEDIUM,4.9
CVE-2023-1463,15,MEDIUM,5.4
CVE-2023-27985,15,HIGH,7.8
CVE-2021-33304,15,CRITICAL,9.8
CVE-2021-31575,15,CRITICAL,9.8
CVE-2021-31574,15,CRITICAL,9.8
CVE-2022-28494,15,CRITICAL,9.8
CVE-2021-43074,15,MEDIUM,4.3
CVE-2023-1317,15,MEDIUM,5.4
CVE-2021-31577,15,CRITICAL,9.8
CVE-2022-27897,15,HIGH,7.5
CVE-2021-33925,15,CRITICAL,9.8
CVE-2015-10092,15,MEDIUM,6.1
CVE-2021-34117,15,HIGH,7.5
CVE-2015-10075,15,MEDIUM,6.1
CVE-2021-36226,15,CRITICAL,9.8
CVE-2023-1288,15,HIGH,7.5
