,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
41,19.149544048309327,4.368098303347895,2.0191302061080934,0.8002625307525945,0.01,0.5,"{'gamma': 0.01, 'C': 0.5}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
40,18.708763122558594,4.388330022011737,2.58816876411438,0.6959521510002129,0.3,0.5,"{'gamma': 0.3, 'C': 0.5}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
39,17.462846398353577,4.934507182591201,2.1388662338256834,0.9672200023327788,0.03,0.5,"{'gamma': 0.03, 'C': 0.5}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
38,22.627488994598387,2.457762341389965,3.2454190969467165,0.662694692396165,0.05,0.03,"{'gamma': 0.05, 'C': 0.03}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
84,18.586826395988464,3.9405738801365997,2.0984954595565797,0.761524224056269,0.0001,0.5,"{'gamma': 0.0001, 'C': 0.5}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
55,17.710587310791016,4.242568988201412,2.321316719055176,0.7571344327847235,50,0.5,"{'gamma': 50, 'C': 0.5}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
82,17.810089325904848,4.856618125956419,2.1532591819763183,0.8482164989317318,0.03,0.3,"{'gamma': 0.03, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
57,19.831125998497008,3.444700368617287,2.6763969898223876,0.6026426611076632,500,0.01,"{'gamma': 500, 'C': 0.01}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
58,16.151565289497377,4.897074603848386,2.055977702140808,0.8437846439524357,0.05,0.01,"{'gamma': 0.05, 'C': 0.01}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
60,16.908158540725708,4.976496576928933,2.4482419967651365,0.6560534148111303,3,0.05,"{'gamma': 3, 'C': 0.05}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
61,19.997254419326783,3.699395760659401,2.0736075401306153,0.7488335190973454,0.03,0.01,"{'gamma': 0.03, 'C': 0.01}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
